id,email,full_name,university,bio,is_verified,created_at
72d8768a-fcaa-4dea-944f-06d8d288a548,test_0@gmail.com,Bot User1,CSU Long Beach,,1,
cc982ee4-8828-4d5f-aca8-a0a814ae2406,test_1@gmail.com,Bot User2,CSU Long Beach,,1,
4c00616e-4cca-4b06-a6dd-db9ba03322b8,test_2@gmail.com,Bot User3,CSU Long Beach,,1,
5ebb1318-dfc4-4010-8e10-b4883ec5a907,test_3@gmail.com,Bot User4,CSU Long Beach,,1,
930b7ff9-290b-4787-841f-cbbe58668aff,test_4@gmail.com,Bot User5,CSU Long Beach,,1,
b4ba29b2-5895-403b-9c0f-7694e5259f7e,test_5@gmail.com,Bot User6,CSU Long Beach,,1,
8e7a30a7-851c-4af8-be4f-5741a0df88b6,test_6@gmail.com,Bot User7,CSU Long Beach,,1,
7efd00d4-9982-4da8-883d-5704d15af0fc,test_7@gmail.com,Bot User8,CSU Long Beach,,1,
b95177b9-83c9-4aa8-97ed-ff155b29ffc1,test_8@gmail.com,Bot User9,CSU Long Beach,,1,
c31b6a5c-08d4-45d2-98c3-b40edcc2a5fa,test_9@gmail.com,Bot User10,CSU Long Beach,,1,
